  PID TTY      STAT   TIME COMMAND
 1327 ?        Ssl    0:04 /usr/sbin/thermald --no-daemon --dbus-enable
 1367 ?        Ssl    0:02 /usr/lib/udisks2/udisksd
 1374 ?        Ss     0:07 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 1487 ?        S      0:00 avahi-daemon: chroot helper
 1548 ?        Ssl    0:10 /usr/sbin/NetworkManager --no-daemon
 1550 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
 1627 ?        Ssl    0:02 /usr/lib/policykit-1/polkitd --no-debug
 1830 ?        Ss     0:06 /usr/bin/python /usr/bin/supervisord -n -c /etc/supervisor/supervisord.conf
 1846 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
 1850 ?        Ss     0:00 /usr/sbin/vsftpd /etc/vsftpd.conf
 1899 ?        Ssl    0:07 /usr/bin/containerd
 1952 ?        Ssl    0:00 /usr/sbin/gdm3
 1954 ?        SLs    0:02 /usr/sbin/ntpd -p /run/ntpd.pid -g -N -u 124:128
 1991 ?        Sl     0:00 gdm-session-worker [pam/gdm-launch-environment]
 2104 ?        Ss     0:01 /usr/sbin/apache2 -k start
 2239 ?        Ss     0:00 /lib/systemd/systemd --user
 2248 ?        S      0:00 (sd-pam)
 2301 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
 2303 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 2307 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
 2373 tty1     Sl+    0:35 /usr/bin/gnome-shell
 2387 ?        Ssl    0:22 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
 2389 ?        Ssl    0:00 /usr/bin/whoopsie -f
 2409 ?        Ssl    2:31 /usr/bin/java -Xms1g -Xmx1g -XX:+UseConcMarkSweepGC -XX:CMSInitiatingOccupancyFraction=75 -XX:+UseCMSInitiatingOccupancyOnly -XX:+AlwaysPreTouch -Xss1m -Djava.awt.headless=true -Dfile.encoding=UTF-8 -Djna.nosys=true -XX:-OmitStackTraceInFastThrow -Dio.netty.noUnsafe=true -Dio.netty.noKeySetOptimization=true -Dio.netty.recycler.maxCapacityPerThread=0 -Dlog4j.shutdownHookEnabled=false -Dlog4j2.disable.jmx=true -Djava.io.tmpdir=/tmp/elasticsearch.ykwotmSz -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/var/lib/elasticsearch -XX:ErrorFile=/var/log/elasticsearch/hs_err_pid%p.log -XX:+PrintGCDetails -XX:+PrintGCDateStamps -XX:+PrintTenuringDistribution -XX:+PrintGCApplicationStoppedTime -Xloggc:/var/log/elasticsearch/gc.log -XX:+UseGCLogFileRotation -XX:NumberOfGCLogFiles=32 -XX:GCLogFileSize=64m -Des.path.home=/usr/share/elasticsearch -Des.path.conf=/etc/elasticsearch -Des.distribution.flavor=default -Des.distribution.type=deb -cp /usr/share/elasticsearch/lib/* org.elasticsearch.bootstrap.Elasticsearch -p /var/run/elasticsearch/elasticsearch.pid --quiet
 2410 ?        Ss     0:01 /usr/sbin/inetd
 2497 ?        I<     0:00 [iprt-VBoxWQueue]
 2503 ?        S      0:00 [iprt-VBoxTscThr]
 2597 ?        Ssl    0:01 /usr/lib/upower/upowerd
 2718 tty1     Sl+    0:00 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
 2822 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 2827 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 2829 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 2834 ?        Ssl    0:00 /usr/bin/pulseaudio --daemonize=no
 2836 ?        SNsl   0:00 /usr/lib/rtkit/rtkit-daemon
 3053 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
 3061 ?        Sl     0:00 /usr/share/elasticsearch/modules/x-pack/x-pack-ml/platform/linux-x86_64/bin/controller
 3140 tty1     Sl     0:00 ibus-daemon --xim --panel disable
 3141 ?        Ssl    0:00 /usr/libexec/xdg-permission-store
 3145 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 3151 tty1     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 3153 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 3165 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/boltd
 3185 ?        Ssl    0:12 /usr/lib/packagekit/packagekitd
 3192 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 3213 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 3214 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 3217 tty1     Sl+    0:04 /usr/lib/gnome-settings-daemon/gsd-color
 3218 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 3219 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 3220 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 3224 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 3229 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 3230 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 3233 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 3234 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 3235 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 3239 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 3246 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 3247 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 3248 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 3291 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-simple
 3338 ?        Ssl    0:00 /usr/lib/colord/colord
 3528 ?        Ss     0:01 /usr/sbin/kerneloops --test
 3530 ?        Ss     0:01 /usr/sbin/kerneloops
 3836 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 3841 ?        Ss     0:00 /lib/systemd/systemd --user
 3842 ?        S      0:00 (sd-pam)
 3855 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
